60 51 6

-1.342067722249715e-10 1.5022304159357888e-10 -8.031149196147301e-9 -1.0879350634625776e-9 -7.029378281149009e-11 -4.3659905012385906e-10 
-1.0026822636902942e-10 5.5100735627465705e-11 1.1153600501689098e-9 -1.7290999403849222e-9 2.4663199535118203e-9 1.8523101492846276e-9 
-2.1396860634797167e-11 -2.4984958464165707e-12 9.801371227591482e-9 4.868388166290578e-10 3.791524051279653e-9 3.5197808815835287e-9 
6.098740409796183e-11 1.1796376675647938e-10 -1.785357213738528e-9 3.0130811577058993e-9 4.757384053333913e-10 3.791855929032725e-10 
2.0664558954415868e-10 1.9015025708230062e-10 -5.927006729227833e-9 4.738568071830518e-9 1.25495630066387e-9 2.3655635068502723e-10 
1.1037581153879139e-11 -4.6340470945923596e-11 6.625040705478943e-9 2.2913481442031768e-9 5.940438504394798e-9 3.935569768999739e-9 
-4.211857342488587e-11 1.2861774014009736e-10 8.508388055146595e-9 2.581556773792316e-9 5.975564640272211e-9 4.643823859619904e-9 
-1.6299076777733963e-10 6.71729910004621e-11 -4.657522551708664e-9 2.05638389097021e-9 -2.421863188222223e-9 -1.878600037706992e-9 
-6.078412982314002e-11 -5.094115081674399e-11 -2.394313759562411e-9 1.2568368723734815e-9 -4.141158913031378e-9 -1.1242028983032505e-9 
-1.370169806651276e-10 -2.52178559282579e-11 5.921424024485177e-9 3.4343479629180126e-9 3.98512339976961e-9 4.613709471605753e-9 
5.1508366134178245e-11 -1.6199457038138858e-11 2.295781701887085e-9 1.323882613621881e-9 3.469166990875181e-9 2.881181692423216e-9 
1.3654676104045408e-11 3.8223669577931717e-11 -3.738044102877925e-9 -8.62988077879046e-10 -4.9455834681285785e-9 -5.091444010204931e-9 
2.0511660547205076e-10 -1.2659451886908438e-10 -1.1782602515061752e-9 -1.3775515196696096e-9 5.1114134241610785e-9 5.063915005686988e-9 
2.171238105371938e-10 -1.7099411492259422e-10 1.8579471808478573e-9 -1.8208735211402061e-9 7.585167327196562e-9 1.1973628931045224e-8 
-2.076223985364627e-11 4.339719424344504e-11 -3.004922272146166e-10 9.876741051307567e-11 -1.4687362904230783e-9 -3.4772085738685137e-10 
-3.4355725422988234e-11 2.9382145648553884e-11 -6.376956564699509e-10 2.3479111693210837e-9 -2.5525845556779775e-9 -1.0635025294791588e-8 
3.3466502470752776e-11 5.0314206313598035e-11 3.914002878239776e-9 8.570904041212724e-9 1.545478491016448e-8 9.682910485155234e-9 
-7.016144036621476e-11 4.348102182814709e-12 4.33486541357738e-9 4.68027660287829e-9 2.1523946927960742e-8 1.6772492461684907e-8 
2.0581731945361962e-10 -4.566529220215111e-11 -2.6606219480802106e-9 -6.6130092412182774e-9 -1.4188418271111331e-8 -8.265437536139169e-9 
3.48920533074176e-10 -1.0920966517870459e-10 -3.537084898096782e-9 -1.7667724398637013e-8 -1.6391162872947027e-8 -7.63630153004566e-9 
-2.0409463132205813e-10 -1.5778717058878759e-10 9.687320602400793e-10 2.2112393270161945e-8 -1.0109718407820758e-8 -4.891044289324105e-10 
-3.800079600293064e-11 -9.053089536272537e-11 4.3309043342986745e-10 1.6843433064747264e-8 1.8073861672006628e-9 -7.860616058829808e-9 
-1.5554622005976855e-11 9.173678397455017e-12 -5.19752817390376e-10 -1.6678521902715142e-8 -1.5320482575899698e-9 -5.1548504042866756e-11 
-1.3537649034425109e-11 1.5157833166034347e-11 2.581803112454905e-10 2.0668002854155775e-9 2.73116716551621e-9 5.380581831698372e-9 
-1.5897929530899537e-11 2.604073947259528e-12 8.872036176587305e-11 2.8838289908652754e-9 4.356187971383843e-9 4.2951781496789616e-9 
0.0 0.0 0.0 1.155982376351167e-9 2.0402345541331555e-9 9.828140327282846e-10 
-1.6660225957233867e-12 -5.215529784680052e-12 4.716666233899382e-11 3.5427771299544024e-9 2.1171908962349316e-9 3.6126846204821548e-9 
5.074297326647669e-13 -8.136888264825388e-12 1.645132726637118e-10 4.475046263719802e-9 1.1326202011891782e-9 3.5604387232962707e-9 
-4.3767089376555415e-11 -1.2942072639641293e-11 4.410560597133672e-11 1.7801448424422473e-9 -8.070151386824061e-10 1.1641003132998971e-9 
-1.1873898163898226e-10 -6.166951552568612e-11 -3.3566345086111256e-10 -1.1471343056241208e-8 -1.110693764655521e-8 -7.504448499942992e-9 
-1.0391455612682528e-10 -8.605520021519491e-11 -8.690086475429661e-10 -1.7524110146452298e-8 -1.4329464393416128e-8 -1.1991239911305484e-8 
8.259942825547969e-11 1.1712286182429936e-10 1.5201222366436478e-9 1.6962383490104384e-8 1.9473484423846076e-8 1.1361917211746482e-8 
5.679356354677176e-11 1.4270089957417547e-10 3.0222065991786554e-9 2.3663554012009084e-8 2.537975773778432e-8 1.5978524613159475e-8 
-7.7844777626107e-11 8.579662181474213e-11 1.7465986581933447e-9 6.0181510082746176e-9 1.0045605981708889e-8 7.535572502267267e-9 
-1.6422519634996006e-10 -5.335532637376016e-11 -6.080358410382285e-10 -7.245929770505968e-9 -8.892500218079832e-9 -8.953195792318995e-9 
-5.6457735205212947e-11 -4.8814108194587897e-11 -1.3023518587086128e-9 -8.074986962604558e-9 -6.529133336833277e-9 -7.4466899572498485e-9 
3.7964528623781715e-11 2.979538871887915e-11 7.326454952614456e-10 -2.495759501399428e-10 3.280946318358127e-9 6.284441137295042e-9 
7.963364701279571e-11 1.8938509474101353e-11 2.5846792942545437e-9 4.2778086093035184e-9 1.1731870279154463e-8 1.5043089293623835e-8 
1.0479358924758832e-10 -1.6379720608378893e-11 1.3216336862940625e-9 -3.0846489792727615e-10 5.219175681670548e-9 9.152983080245808e-9 
7.42666969426157e-11 -1.1683185218150484e-10 2.828480962072894e-10 -2.2023593332446502e-9 3.9836143365412435e-9 3.931019552358507e-9 
5.557325310100821e-11 -1.0801569541917765e-10 -7.561810102017401e-10 -3.718223465178297e-9 1.7233970800994065e-9 4.345233445127207e-9 
1.3056891007775335e-10 -7.748075527746905e-11 1.1759414262959958e-10 -2.3100251836489896e-9 2.0705883861756943e-9 5.083510724622727e-9 
-2.524956060812885e-11 -2.02159921946632e-10 7.797964498345948e-10 1.611554756820969e-9 4.233452976562738e-9 6.884911164218728e-9 
-3.4415795620973784e-11 -1.5137644343034763e-10 1.2564656960459424e-9 1.4256740690082649e-10 5.278397134294794e-9 8.21470609389681e-9 
9.407128993399671e-11 -9.852502679724804e-12 1.3861114937382375e-9 3.52663785635821e-11 4.616980027551515e-9 6.885147059703594e-9 
-1.4762818236112923e-10 -1.0729484222668539e-10 8.207398650710363e-10 2.8731303576903508e-9 3.945735159917719e-9 5.093377862114571e-9 
1.7323641204904748e-11 7.844417062497036e-12 7.500555499632059e-10 4.372774242023144e-9 5.106595867450274e-9 5.661436982987605e-9 
5.290290451855713e-11 1.0222198735969466e-10 1.0696990312878472e-9 2.7165121460597413e-9 3.988782656611126e-9 5.645609452895667e-9 
-1.0435569517785667e-10 -1.308207052152373e-10 6.682972090926128e-10 -1.3332673853261852e-9 3.4871664793243635e-9 5.2898228776012455e-9 
-2.2515023103349464e-11 -6.6338655593920205e-12 1.1182646764063887e-9 -1.3910000112471995e-10 4.99064920730171e-9 4.593342945410521e-9 
1.3726386480229016e-10 1.0710548718357536e-10 1.6208336906023368e-9 1.3984844592889087e-9 5.952567686328094e-9 5.254014495052226e-9 

4.1468586556647996e-8 5.932997668532526e-8 6.196368226317337e-7 8.135488317075359e-7 8.527621685296368e-7 9.108771423882224e-7 
3.976780468412809e-8 5.053777736917474e-8 6.19409962070772e-7 8.572463412962285e-7 8.785441914587008e-7 9.111467073746149e-7 
3.806702135167491e-8 4.369717875700393e-8 6.166537000590676e-7 8.867591319808573e-7 9.138889850789271e-7 9.205315553192038e-7 
3.6125502000268624e-8 4.110308660910187e-8 6.319126383491906e-7 9.085172346665367e-7 9.525496227318373e-7 9.310294925127547e-7 
3.388475741668931e-8 4.2538899516236894e-8 6.447529140761657e-7 9.34231195074734e-7 9.892280512322268e-7 9.349259790499857e-7 
3.186633636255001e-8 4.6248783395865903e-8 6.324669806568736e-7 9.56669459810902e-7 1.0297206074363088e-6 9.415469977254535e-7 
3.0087628787573165e-8 5.07234946258815e-8 6.224219547486095e-7 9.727912240012313e-7 1.0805126589466326e-6 9.580694547587108e-7 
